,Name,Team,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
680,Elijah Hughes,UTA,8.0,.417,1.2,0.4,0.3,0.1,0.5,3.1
681,Norvel Pelle,UTA,6.3,.600,2.0,0.0,0.0,0.3,0.7,2.0
682,Malik Fitts,UTA,5.0,.222,1.4,0.0,0.0,0.0,0.3,0.9
683,Zylan Cheatham,UTA,5.0,.000,0.0,0.0,0.0,0.0,0.0,0.0
684,Xavier Sneed,UTA,4.4,.250,0.6,0.1,0.0,0.0,0.0,0.7
685,Miye Oni,UTA,2.8,.222,0.4,0.3,0.0,0.0,0.1,0.3
686,Bradley Beal,WAS,36.0,.451,4.7,6.6,0.9,0.4,3.4,23.2
687,Kyle Kuzma,WAS,33.4,.452,8.5,3.5,0.6,0.9,2.6,17.1
688,Kentavious Caldwell-Pope,WAS,30.2,.435,3.4,1.9,1.1,0.3,1.3,13.2
689,Spencer Dinwiddie,WAS,30.2,.376,4.7,5.8,0.6,0.2,1.7,12.6
690,Kristaps Porziņģis,WAS,28.2,.475,8.8,2.9,0.7,1.5,1.6,22.1
691,Brad Wanamaker,WAS,27.0,.400,4.0,7.0,2.0,0.0,0.0,7.0
692,Montrezl Harrell,WAS,24.3,.645,6.7,2.1,0.4,0.7,1.1,14.1
693,Deni Avdija,WAS,24.2,.432,5.2,2.0,0.7,0.5,1.1,8.4
694,Corey Kispert,WAS,23.4,.455,2.7,1.1,0.5,0.3,0.6,8.2
695,Rui Hachimura,WAS,22.5,.491,3.8,1.1,0.5,0.2,0.8,11.3
696,Ish Smith,WAS,22.0,.457,3.0,5.2,1.0,0.5,1.5,8.6
697,Daniel Gafford,WAS,20.1,.693,5.7,0.9,0.4,1.4,0.9,9.4
698,Raul Neto,WAS,19.6,.463,1.9,3.1,0.8,0.0,1.1,7.5
699,Tomáš Satoranský,WAS,18.9,.476,2.8,4.9,0.7,0.2,1.0,4.9
