,Name,Team,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
429,Nickeil Alexander-Walker,NOP,26.3,.375,3.3,2.8,0.8,0.4,1.7,12.8
430,Larry Nance Jr.,NOP,20.2,.551,4.3,0.9,0.6,0.8,1.1,7.3
431,Jaxson Hayes,NOP,20.0,.616,4.5,0.6,0.5,0.8,0.8,9.3
432,Garrett Temple,NOP,18.6,.376,2.4,1.3,0.7,0.4,0.7,5.2
433,Tony Snell,NOP,18.5,.446,2.1,0.5,0.5,0.1,0.5,5.9
434,Willy Hernangómez,NOP,16.8,.520,6.8,1.3,0.4,0.4,1.0,9.1
435,Jose Alvarado,NOP,15.4,.446,1.9,2.8,1.3,0.1,0.7,6.1
436,Tomáš Satoranský,NOP,15.0,.299,2.0,2.4,0.4,0.0,0.7,2.8
437,Kira Lewis Jr.,NOP,14.2,.404,1.6,2.0,0.5,0.0,1.1,5.9
438,Trey Murphy III,NOP,13.9,.394,2.4,0.6,0.4,0.1,0.3,5.4
439,Naji Marshall,NOP,13.4,.405,2.6,1.1,0.6,0.1,0.8,5.7
440,Tyrone Wallace,NOP,12.5,.350,1.3,0.2,0.5,0.2,0.3,2.8
441,Gary Clark,NOP,9.9,.375,2.4,0.5,0.3,0.2,0.3,2.7
442,Jared Harper,NOP,8.6,.538,0.4,2.8,0.8,0.2,0.4,7.4
443,Alize Johnson,NOP,7.0,.300,3.3,0.3,0.5,0.0,0.3,2.3
444,Didi Louzada,NOP,3.5,.000,1.0,0.5,0.0,0.0,0.0,0.0
445,Julius Randle,NYK,35.3,.411,9.9,5.1,0.7,0.5,3.4,20.1
446,RJ Barrett,NYK,34.5,.408,5.8,3.0,0.6,0.2,2.2,20.0
447,Evan Fournier,NYK,29.5,.417,2.6,2.1,1.0,0.3,1.3,14.1
448,Alec Burks,NYK,28.6,.391,4.9,3.0,1.0,0.3,1.1,11.7
449,Mitchell Robinson,NYK,25.7,.761,8.6,0.5,0.8,1.8,0.8,8.5
450,Kemba Walker,NYK,25.6,.403,3.0,3.5,0.7,0.2,1.3,11.6
451,Derrick Rose,NYK,24.5,.445,3.0,4.0,0.8,0.5,1.5,12.0
452,Immanuel Quickley,NYK,23.1,.392,3.2,3.5,0.7,0.0,1.3,11.3
453,Nerlens Noel,NYK,22.5,.533,5.6,0.9,1.2,1.2,0.8,3.4
454,Taj Gibson,NYK,18.2,.518,4.4,0.6,0.4,0.8,0.5,4.4
455,Quentin Grimes,NYK,17.1,.404,2.0,1.0,0.7,0.2,0.6,6.0
456,Obi Toppin,NYK,17.1,.531,3.7,1.1,0.3,0.5,0.8,9.0
457,Cam Reddish,NYK,14.3,.415,1.4,0.7,0.8,0.3,0.9,6.1
458,Jericho Sims,NYK,13.5,.722,4.1,0.5,0.3,0.5,0.5,2.2
459,Damyean Dotson,NYK,10.5,.500,1.0,0.5,0.0,0.0,0.0,2.0
460,Miles McBride,NYK,9.3,.296,1.1,1.0,0.4,0.0,0.1,2.2
461,Kevin Knox,NYK,8.5,.375,1.7,0.2,0.2,0.1,0.4,3.6
462,Ryan Arcidiacono,NYK,7.6,.500,0.8,0.4,0.1,0.0,0.3,1.6
463,Wayne Selden,NYK,6.3,.250,0.3,0.3,0.0,0.0,0.0,1.7
464,Feron Hunt,NYK,4.0,.000,0.5,0.5,0.5,0.0,0.5,0.0
465,Danuel House Jr.,NYK,3.0,.000,0.0,0.0,0.0,0.0,0.0,0.0
466,Matt Mooney,NYK,2.0,.000,0.0,0.0,1.0,0.0,1.0,0.0
467,Tyler Hall,NYK,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
468,Zavier Simpson,OKC,43.5,.365,5.3,7.5,1.3,1.0,2.5,11.0
469,Georgios Kalaitzakis,OKC,41.5,.464,3.3,3.0,2.5,0.3,4.0,17.5
470,Melvin Frazier,OKC,40.0,.271,4.3,0.3,0.3,0.0,1.0,10.7
471,Shai Gilgeous-Alexander,OKC,34.7,.453,5.0,5.9,1.3,0.8,2.8,24.5
472,Jaylen Hoard,OKC,34.3,.489,12.0,2.4,0.9,0.7,1.1,14.7
473,Luguentz Dort,OKC,32.6,.404,4.2,1.7,0.9,0.4,1.7,17.2
474,Josh Giddey,OKC,31.5,.419,7.8,6.4,0.9,0.4,3.2,12.5
475,Darius Bazley,OKC,27.9,.422,6.3,1.4,0.8,1.0,1.3,10.8
476,Aaron Wiggins,OKC,24.2,.463,3.6,1.4,0.6,0.2,1.1,8.3
477,Vit Krejci,OKC,23.0,.407,3.4,1.9,0.6,0.3,1.0,6.2
478,Tre Mann,OKC,22.8,.393,2.9,1.5,0.8,0.2,1.2,10.4
479,Jeremiah Robinson-Earl,OKC,22.2,.414,5.6,1.0,0.6,0.3,0.8,7.5
480,Kenrich Williams,OKC,21.9,.461,4.5,2.2,0.9,0.2,0.9,7.4
481,Isaiah Roby,OKC,21.1,.514,4.8,1.6,0.8,0.8,1.0,10.1
482,Aleksej Pokusevski,OKC,20.2,.408,5.2,2.1,0.6,0.6,1.5,7.6
483,Olivier Sarr,OKC,19.1,.574,4.2,0.9,0.3,0.7,1.0,7.0
484,Lindy Waters III,OKC,18.6,.406,2.9,1.0,0.8,0.3,0.4,8.0
485,Scotty Hopson,OKC,18.0,.500,1.0,1.0,0.0,0.0,2.0,4.0
486,Théo Maledon,OKC,17.8,.375,2.6,2.2,0.6,0.2,1.3,7.1
487,Paul Watson,OKC,17.3,.343,3.0,0.9,0.3,0.3,0.4,3.4
488,Ty Jerome,OKC,16.7,.378,1.6,2.3,0.6,0.1,0.8,7.1
489,Derrick Favors,OKC,16.7,.516,4.7,0.6,0.4,0.3,0.2,5.3
490,Mamadi Diakite,OKC,14.5,.532,4.5,0.2,0.4,0.7,0.5,4.3
491,Mike Muscala,OKC,13.8,.456,3.0,0.5,0.4,0.6,0.3,8.0
492,Gabriel Deck,OKC,8.0,.571,0.9,0.7,0.1,0.0,0.3,2.6
493,Rob Edwards,OKC,5.5,.250,1.5,0.0,0.0,0.0,0.5,1.5
494,Cole Anthony,ORL,31.7,.391,5.4,5.7,0.7,0.3,2.6,16.3
495,Franz Wagner,ORL,30.7,.468,4.5,2.9,0.9,0.4,1.5,15.2
496,Wendell Carter Jr.,ORL,29.9,.525,10.5,2.8,0.6,0.7,1.9,15.0
497,Devin Cannady,ORL,29.0,.341,1.2,2.0,1.0,0.6,1.0,10.0
498,Gary Harris,ORL,28.4,.434,2.0,1.8,1.0,0.1,1.0,11.1
499,Jalen Suggs,ORL,27.2,.361,3.6,4.4,1.2,0.4,3.0,11.8
500,Mo Bamba,ORL,25.7,.480,8.1,1.2,0.5,1.7,1.1,10.6
501,Chuma Okeke,ORL,25.0,.376,5.0,1.7,1.4,0.6,0.8,8.6
502,Terrence Ross,ORL,23.0,.397,2.6,1.8,0.4,0.2,1.2,10.0
503,R.J. Hampton,ORL,21.9,.383,3.0,2.5,0.7,0.2,1.4,7.6
504,Hassani Gravett,ORL,21.4,.474,2.6,2.5,0.6,0.1,1.1,6.3
505,Markelle Fultz,ORL,20.0,.474,2.7,5.5,1.1,0.3,2.2,10.8
506,Tim Frazier,ORL,20.0,.302,1.9,3.3,0.3,0.1,1.3,3.7
507,Jeff Dowtin,ORL,19.3,.263,2.8,1.8,1.3,0.0,1.0,3.3
508,Robin Lopez,ORL,17.0,.553,3.5,1.5,0.1,0.5,1.2,7.1
509,B.J. Johnson,ORL,16.3,.440,3.8,0.0,0.0,0.3,0.0,6.5
510,Moritz Wagner,ORL,15.2,.497,3.7,1.4,0.3,0.2,0.9,9.0
511,Aleem Ford,ORL,14.8,.300,3.0,0.4,0.2,0.0,0.8,2.8
512,Freddie Gillespie,ORL,13.2,.409,4.0,0.6,0.3,1.0,0.6,2.3
513,Mychal Mulder,ORL,13.0,.299,1.4,0.2,0.3,0.1,0.5,3.7
514,Ignas Brazdeikis,ORL,12.8,.431,1.7,0.9,0.2,0.1,0.4,5.0
515,Admiral Schofield,ORL,12.3,.419,2.3,0.7,0.1,0.1,0.6,3.8
516,James Harden,PHI,37.7,.402,7.1,10.5,1.2,0.2,3.4,21.0
517,Tyrese Maxey,PHI,35.3,.485,3.2,4.3,0.7,0.4,1.2,17.5
518,Seth Curry,PHI,34.8,.485,3.4,4.0,0.8,0.2,1.9,15.0
519,Tobias Harris,PHI,34.8,.482,6.8,3.5,0.6,0.6,1.6,17.2
520,Joel Embiid,PHI,33.8,.499,11.7,4.2,1.1,1.5,3.1,30.6
521,Matisse Thybulle,PHI,25.5,.500,2.3,1.1,1.7,1.1,0.6,5.7
522,Georges Niang,PHI,22.8,.437,2.7,1.3,0.4,0.2,0.8,9.2
523,Danny Green,PHI,21.8,.394,2.5,1.0,1.0,0.6,0.7,5.9
524,Shake Milton,PHI,21.4,.429,2.6,2.5,0.5,0.3,0.8,8.2
525,Furkan Korkmaz,PHI,21.1,.387,2.6,1.9,0.5,0.1,0.7,7.6
526,Andre Drummond,PHI,18.4,.538,8.8,2.0,1.1,0.9,1.6,6.1
527,DeAndre Jordan,PHI,13.4,.593,5.8,0.5,0.1,0.6,1.0,4.6
528,Tyler Johnson,PHI,12.7,.400,2.0,0.7,0.3,0.3,0.3,3.7
529,Paul Millsap,PHI,11.8,.433,2.8,0.6,0.6,0.2,0.9,3.7
530,Isaiah Joe,PHI,11.1,.350,1.0,0.6,0.3,0.1,0.3,3.6
531,Charlie Brown Jr.,PHI,8.5,.265,1.6,0.3,0.4,0.2,0.3,1.5
532,Paul Reed,PHI,7.9,.563,2.4,0.4,0.9,0.4,0.3,3.1
533,Charles Bassey,PHI,7.3,.638,2.7,0.3,0.2,0.7,0.3,3.0
534,Myles Powell,PHI,4.7,.294,0.5,0.3,0.1,0.0,0.3,1.2
535,Braxton Key,PHI,3.0,.500,1.0,0.5,0.5,0.0,1.0,1.0
536,Willie Cauley-Stein,PHI,3.0,,1.0,0.5,0.0,0.0,0.0,0.0
537,Jaden Springer,PHI,3.0,1.000,1.0,0.0,0.0,1.0,0.5,1.0
538,Aaron Henry,PHI,2.8,.200,0.2,0.0,0.0,0.3,0.3,0.3
539,Mikal Bridges,PHO,34.8,.534,4.2,2.3,1.2,0.4,0.8,14.2
540,Devin Booker,PHO,34.5,.466,5.0,4.8,1.1,0.4,2.4,26.8
541,Chris Paul,PHO,32.9,.493,4.4,10.8,1.9,0.3,2.4,14.7
542,Deandre Ayton,PHO,29.5,.634,10.2,1.4,0.7,0.7,1.6,17.2
543,Jae Crowder,PHO,28.1,.399,5.3,1.9,1.4,0.4,0.8,9.4
544,Cameron Johnson,PHO,26.2,.460,4.1,1.5,0.9,0.2,0.7,12.5
545,Cameron Payne,PHO,22.0,.409,3.0,4.9,0.7,0.3,1.8,10.8
546,Torrey Craig,PHO,20.8,.450,4.3,1.2,0.8,0.6,1.0,6.9
547,Landry Shamet,PHO,20.8,.394,1.8,1.6,0.4,0.1,0.6,8.3
548,Frank Kaminsky,PHO,20.1,.545,4.6,1.4,0.9,0.8,0.6,10.6
549,Aaron Holiday,PHO,16.3,.411,2.5,3.4,0.8,0.0,1.3,6.8
550,JaVale McGee,PHO,15.8,.629,6.7,0.6,0.3,1.1,1.3,9.2
551,Bismack Biyombo,PHO,14.1,.593,4.6,0.6,0.3,0.7,0.7,5.8
552,Jalen Smith,PHO,13.2,.460,4.8,0.2,0.2,0.6,0.8,6.0
553,Gabriel Lundberg,PHO,11.0,.263,1.8,2.8,0.8,0.0,0.8,3.3
554,Elfrid Payton,PHO,11.0,.383,1.8,2.0,0.5,0.1,0.9,3.0
555,Abdel Nader,PHO,10.4,.343,1.9,0.5,0.6,0.3,0.8,2.4
556,Ish Wainright,PHO,8.0,.394,1.2,0.3,0.4,0.1,0.3,2.4
557,Emanuel Terry,PHO,6.0,.000,5.0,0.7,0.3,0.0,1.7,0.0
